Description;Severity Score
A Area was deleted from all model views but still remains in this project. ;02_Medium
A Corner Mullion has been placed at the end of a Curtain Wall that is not joined to another Curtain Wall. The angle of the Corner Mullion will default to 90 degrees.;01_High
A curtain grid line had invalid removed segment data.  When correcting data, Revit may have split curtain panels that should be combined.;03_Low
A Curtain System cannot be based on faces from multiple elements.;03_Low
"A dimension labeled by a parameter is being deleted, but the elements will still be constrained. Push ""Unconstrain"" to remove the constraints or ""OK"" to leave elements constrained.";03_Low
"A dimension that has EQ constraints is being deleted, but the elements will still be constrained. Push ""Unconstrain"" to remove the constraints or ""OK"" to leave elements constrained.";03_Low
"A dimension that has lock constraints is being deleted, but the elements will still be constrained. Push ""Unconstrain"" to remove the constraints or ""OK"" to leave elements constrained.";03_Low
A geometric inaccuracy was found in the element.;02_Medium
A group has been changed outside group edit mode.  The change is being allowed because there is only one instance of the type.;03_Low
A group member's sketch or family is constrained to an element that is not a member of the group.  These constraints have been removed.;03_Low
A group or groups that was loaded was renamed because its name was not unique amongst the groups in the file being loaded.  Most likely a model subgroup had the same name as the loaded file.;02_Medium
A large view has view detail level set to medium or fine. Generation of extraneous details harms performance. ;01_High
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.;02_Medium
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.;03_Low
A pad in a Design Option cannot be hosted by a topography in another Design Option--if you continue it will not be added to the design option set.;02_Medium
A pad in a design option cannot be hosted by topography in the Main Model--if you continue it will not be added to the design option set.;02_Medium
A pad in the main model cannot be hosted by topography in a Design Option--if you continue it will not be added to the design option set.;02_Medium
A panel schedule cannot be created for these panels. A default panel schedule template must be assigned for this template type.;02_Medium
A piece of boundary is too short to create stringer on it.;02_Medium
A Room was deleted from all model views but still remains in this project. ;02_Medium
A Space Type Tag was deleted, but the corresponding Space Type still exists.  You can place another tag for the Space Type using the Space Type Tag tool or select the ... and delete it.;03_Low
A Space was deleted from all model views but still remains in this project. ;02_Medium
A structural element will be detached from grid(s) due to inconsistent group membership.;01_High
A structural framing element is attached to a wall whose Structural Usage is set to Usage.;02_Medium
A subwall of this stacked wall is unjoined from its neighbors because it was pulled too far.;02_Medium
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap. You can tab-select one of the overlapping elements to exclude it from the group instance.;02_Medium
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap.;03_Low
