Color_Index;Color_RGB;Plot_Color;Plot_LWeight;RVT_Lweight
1;255,0,0;0,0,0;0.3;7
2;255,255,0;0,0,0;0.15;4
3;0,255,0;0,0,0;0.2;5
4;0,255,255;0,0,0;0.4;7
5;0,0,255;0,0,0;0.1;3
6;255,0,255;255,0,255;0.5;8
7;0,0,0;0,0,0;0.18;5
8;128,128,128;128,128,128;0.18;5
9;192,192,192;220,220,220;0.18;5
10;255,0,0;(Object);(Object);Default
11;255,127,127;0,0,0;0.5;8
12;165,0,0;184,46,0;0.3;7
13;165,82,82;(Object);(Object);Default
14;127,0,0;(Object);(Object);Default
15;127,63,63;(Object);(Object);Default
16;76,0,0;(Object);(Object);Default
17;76,38,38;(Object);(Object);Default
18;38,0,0;(Object);(Object);Default
19;38,19,19;(Object);(Object);Default
20;255,63,0;0,0,0;0.1;3
21;255,159,127;0,0,0;0.05;2
22;165,41,0;221,55,0;0.5;8
23;165,103,82;0,0,0;0.05;2
24;127,31,0;114,0,0;0.3;7
25;127,79,63;(Object);(Object);Default
26;76,19,0;(Object);(Object);Default
27;76,47,38;(Object);(Object);Default
28;38,9,0;(Object);(Object);Default
29;38,23,19;(Object);(Object);Default
30;255,127,0;255,127,0;0.4;7
31;255,191,127;255,191,127;0.15;4
32;165,82,0;0,0,0;0.25;6
33;165,124,82;0,0,0;0.01;1
34;127,63,0;(Object);(Object);Default
35;127,95,63;(Object);(Object);Default
36;76,38,0;(Object);(Object);Default
37;76,57,38;(Object);(Object);Default
38;38,19,0;(Object);(Object);Default
39;38,28,19;(Object);(Object);Default
40;255,191,0;255,0,0;0.2;5
41;255,223,127;255,223,127;0.15;4
42;165,124,0;0,0,0;0.05;2
43;165,145,82;(Object);(Object);Default
44;127,95,0;(Object);(Object);Default
45;127,111,63;(Object);(Object);Default
46;76,57,0;(Object);(Object);Default
47;76,66,38;(Object);(Object);Default
48;38,28,0;(Object);(Object);Default
49;38,33,19;(Object);(Object);Default
50;255,255,0;255,255,1;0.3;7
51;255,255,127;128,128,128;0.05;2
52;165,165,0;0,0,0;(Object);Default
53;165,165,82;0,0,0;0.05;2
54;127,127,0;(Object);(Object);Default
55;127,127,63;(Object);(Object);Default
56;76,76,0;(Object);(Object);Default
57;76,76,38;0,0,0;0.05;2
58;38,38,0;(Object);(Object);Default
59;38,38,19;(Object);(Object);Default
60;191,255,0;0,0,0;0.25;6
61;223,255,127;128,128,128;0.05;2
62;124,165,0;0,0,0;0.01;1
63;145,165,82;0,0,0;0.01;1
64;95,127,0;0,0,0;0.2;5
65;111,127,63;(Object);(Object);Default
66;57,76,0;(Object);(Object);Default
67;66,76,38;131,149,74;0.4;7
68;28,38,0;(Object);(Object);Default
69;33,38,19;(Object);(Object);Default
70;127,255,0;0,0,0;0.05;2
71;191,255,127;89,89,89;0.05;2
72;82,165,0;46,184,0;0.3;7
73;124,165,82;(Object);(Object);Default
74;63,127,0;(Object);(Object);Default
75;95,127,63;152,152,152;0.18;5
76;38,76,0;(Object);(Object);Default
77;57,76,38;(Object);(Object);Default
78;19,38,0;(Object);(Object);Default
